Merchant Id,Transaction Type,Merchant Order Id,Merchant Reference Id,PhonePe Reference Id,PhonePe Transaction Reference Id,PhonePe Attempt Reference Id,Transaction UTR,Total Transaction Amount,Transaction Date,Transaction Status,UPI Amount,Wallet Amount,Credit card Amount,Debit card Amount,External Wallet Amount,EGV Amount,Store Id,Terminal Id,Store Name,Terminal Name,Error Code,Detailed Error Code,Error Description,Error Source,Error Stage
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769681702494,ORDER_1769681702494,OMO2601291545028167193606W,OMO2601291545028167193606W,ORDER_1769681702494,609863976406,300.0,2026-01-29 15:45:27,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769680822388,ORDER_1769680822388,OMO2601291530226821827806W,OMO2601291530226821827806W,ORDER_1769680822388,349474660277,300.0,2026-01-29 15:30:52,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769680722987,ORDER_1769680722987,OMO2601291528433731000917W,OMO2601291528433731000917W,ORDER_1769680722987,377492674433,300.0,2026-01-29 15:29:08,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769679561676,ORDER_1769679561676,OMO2601291509220535683423W,OMO2601291509220535683423W,ORDER_1769679561676,514903308336,300.0,2026-01-29 15:09:40,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769679107223,ORDER_1769679107223,OMO2601291501479343030072W,OMO2601291501479343030072W,ORDER_1769679107223,383683659212,300.0,2026-01-29 15:03:35,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769678292023,ORDER_1769678292023,OMO2601291448123728352842W,OMO2601291448123728352842W,ORDER_1769678292023,000450728067,300.0,2026-01-29 14:48:49,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769678175513,ORDER_1769678175513,OMO2601291446157726223150W,OMO2601291446157726223150W,ORDER_1769678175513,165262493157,300.0,2026-01-29 14:46:51,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769676454357,ORDER_1769676454357,OMO2601291417350677422769W,OMO2601291417350677422769W,ORDER_1769676454357,369453010976,300.0,2026-01-29 14:17:55,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769676278874,ORDER_1769676278874,OMO2601291414393494283765W,OMO2601291414393494283765W,ORDER_1769676278874,602943667717,300.0,2026-01-29 14:15:48,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769676210717,ORDER_1769676210717,OMO2601291413310103534779W,OMO2601291413310103534779W,ORDER_1769676210717,476114838097,300.0,2026-01-29 14:14:32,COMPLETED,300.0,,,,,,,,,,,,,,
